pop rep sampled
CE-TUL2 B no
CE-OAK2 B no
CE-LGR2 B no
CE-COL2 B no
CE-LLL2 B no
CE-SON2 B no
CC-CUP2 B no
CE-JES2 B yes (DNA)
FS-FRE2 B no
FC-MLB2 B no
NL-TIL2 B no
CC-ALM2 B no
NL-WHV2 B yes
FS-LAT2 B NA
CC-BYD2 B no
NL-CUI2 B no
FS-ARI2 B NA
FC-COD2 B no
CC-SHL2 B no
CC-CVR2 B no
CC-BAI2 B no
FC-COU2 B yes
CE-DUT3 B no
FC-MLB3 B no
CE-SON3 B no
CC-OKA3 B no
FS-ARI3 B NA
FC-ISB3 B yes
CC-CUP3 B no
CC-ALM3 B no
CC-GUA3 B no
CC-LEX3 B no
CE-LGR3 B no
FC-COU3 B no
CE-COL3 B no
FC-LEM3 B no
CC-CVR3 B no
CC-SHL3 B no
CE-SRK3 B no
CC-FBK3 B no
CC-BAI3 B no
CE-JES3 B no
FS-FRE3 B yes (DNA)
CE-JVR3 B NA
CE-JAR3 B no
CE-CAR3 B no
NL-SCH3 B no
CE-TUL3 B no
FS-LAT3 B NA
CE-LLL3 B no
NL-HAR3 B no
CC-BYD3 B no
FS-VID3 B yes (DNA)
CC-SCR3 B no
NL-WHV3 B NA
CE-SCT3 B no
CE-OAK3 B no
NL-TIL3 B no
CC-ALV3 B yes (DNA)
FC-COD3 B no
FC-BOE3 B no
CE-JAM3 B no
CC-FOO3 B no
NL-CUI3 B no
FC-EVR3 B NA
FS-MER3 B no
FC-MMA3 B NA
NL-LAR3 B no
CC-PPR3 B no
NL-DOR3 B yes
FS-MER4 B NA
CC-CUP4 B no
CC-OKA4 B no
CE-JES4 B no
FS-FRE4 B NA
CC-ALV4 B no
NL-CUI4 B no
CE-DUT4 B no
CE-CAR4 B no
FC-LEM4 B no
FS-ARI4 B NA
NL-DOR4 B no
CC-LEX4 B no
CC-SCR4 B no
CC-CVR4 B no
FC-BOE4 B no
NL-SCH4 B no
FC-MMA4 B NA
NL-TIL4 B no
CE-JVR4 B no
CE-SRK4 B no
FC-EVR4 B no
CE-JAR4 B no
CC-FBK4 B no
NL-LAR4 B yes (DNA)
CC-BAI4 B no
FC-COD4 B NA
CC-PPR4 B yes
CC-SHL4 B no
NL-HAR4 B NA
FS-VID4 B yes (DNA)
NL-WHV4 B no
CE-SCT4 B no
CC-BYD4 B no
FC-ISB4 B no
CE-OAK4 B no
CC-GUA4 B no
FC-MLB4 B no
CE-TUL4 B yes
CE-JAM4 B no
CE-LGR4 B no
CE-LLL4 B no
FS-LAT4 B NA
CC-FOO4 B no
CE-SON4 B no
CE-COL4 B no
CC-ALM4 B no
FC-COU4 B no
CE-DUT5 B no
CC-OKA5 B no
CE-LGR5 B no
CC-LEX5 B no
FS-LAT5 B NA
CE-SCT5 B yes (DNA)
NL-LAR5 B no
CE-JAR11 B no
CC-BAI5 B no
FC-COU5 B no
CE-COL5 B no
NL-SCH5 B no
FC-MMA5 B NA
FS-FRE5 B no
FS-ARI5 B NA
CE-JVR5 B NA
FS-VID5 B no
NL-WHV5 B no
CC-ALM5 B no
CC-PPR5 B no
FC-MLB5 B no
CC-BYD5 B no
FC-COD5 B no
FC-LEM5 B no
CC-CVR5 B NA
CE-OAK11 B no
NL-DOR5 B no
CE-CAR5 B no
FC-EVR5 B no
CC-CUP5 B no
CE-LLL5 B no
CE-JAM5 B no
CE-SRK5 B no
CC-GUA5 B no
FC-ISB5 B yes
CC-FOO5 B no
FS-MER5 B NA
CE-TUL5 B no
CC-FBK5 B no
CC-ALV5 B yes (DNA)
CC-SHL5 B no
FC-BOE5 B no
NL-TIL5 B no
NL-CUI5 B no
CE-JES5 B no
CC-SCR5 B no
CE-SON5 B no
NL-HAR5 B no
FC-MLB6 B no
CC-ALV6 B no
FC-MMA6 B NA
CE-JAR6 B no
CC-ALM6 B no
NL-CUI6 B no
FC-COU6 B no
CE-LLL6 B no
FS-MER6 B no
CC-FOO6 B no
CC-CVR6 B no
CE-SON6 B no
CE-JAM6 B no
CC-SCR6 B no
CC-SHL6 B no
CC-CUP6 B no
FC-LEM6 B no
NL-LAR6 B NA
CE-JES6 B yes (DNA)
FS-FRE6 B yes (DNA)
NL-DOR6 B no
CC-OKA6 B no
CC-PPR6 B no
CC-GUA6 B no
CC-BYD6 B no
CE-TUL6 B NA
FC-ISB6 B no
FS-ARI6 B NA
CE-CAR6 B no
FS-LAT6 B NA
CE-DUT6 B no
CE-COL6 B no
CE-SRK6 B no
NL-TIL6 B no
NL-WHV6 B no
CC-BAI6 B yes
NL-HAR6 B no
FC-BOE6 B yes (DNA)
CC-LEX11 B yes
CE-OAK6 B no
CC-FBK6 B no
CE-JVR6 B NA
CE-SCT6 B no
FS-VID6 B yes (DNA)
NL-SCH6 B no
FC-COD6 B no
FC-EVR6 B no
CE-LGR6 B no
FC-COD7 B NA
CC-OKA7 B no
NL-HAR7 B no
CE-LGR7 B no
CC-LEX7 B no
FS-ARI7 B NA
CE-OAK7 B no
NL-DOR7 B no
CC-GUA7 B no
FS-MER7 B NA
FC-LEM7 B no
CC-BAI7 B no
FS-VID7 B no
FC-ISB7 B no
FC-BOE7 B no
CE-JAR7 B no
FC-MLB7 B no
CC-SHL7 B no
FS-FRE7 B no
NL-LAR7 B no
FC-EVR7 B no
CE-CAR7 B no
CE-LLL7 B no
CE-COL7 B no
CC-ALV7 B no
NL-SCH7 B no
NL-TIL7 B no
FS-LAT7 B NA
CC-SCR7 B no
CC-FOO11 B no
CE-SON7 B no
CE-SCT11 B no
CE-SRK7 B no
FC-MMA7 B no
CC-CVR7 B no
CC-BYD7 B no
CE-JAM7 B no
CC-PPR7 B no
CE-JES7 B no
CC-FBK7 B no
CE-DUT7 B no
CC-CUP7 B no
NL-WHV7 B no
CC-ALM11 B no
CE-TUL7 B no
FC-COU7 B no
CE-JVR7 B NA
NL-CUI7 B no
CC-LEX8 B no
CE-CAR8 B no
CE-LGR8 B no
FC-ISB8 B no
CC-GUA8 B no
CE-COL8 B no
NL-TIL8 B no
